lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009949197860154442,0.3113663911819458,0.9557288765907288,0.6627766251564026,78.6676025390625,0.2929522544145584,76.0271987915039,1.0156818628311157,457.0,20141.0,457.0
0.009888665192024167,0.2872586727142334,0.8606100142002105,0.5919995963573456,83.001220703125,0.2686104252934456,80.98297119140625,0.9906336784362793,1000.0,20141.0,1000.0
0.00977707784332223,0.2858778953552246,0.8099909901618958,0.557899397611618,82.29759979248047,0.25209160298109057,79.53630065917969,0.9903349161148072,2000.0,20141.0,2000.0
0.009665347338051444,0.27870099544525145,0.8217880964279175,0.5725979924201965,82.78433227539062,0.2491901010274887,81.53120422363281,0.984354043006897,3000.0,20141.0,3000.0
0.00955347162967509,0.3082420825958252,0.7520565032958985,0.5223933070898056,82.93293762207031,0.2296632021665573,81.02361297607422,1.0120433568954468,4000.0,20141.0,4000.0
0.0094414486150653,0.2765622854232788,0.7079192757606506,0.49043341875076296,83.81159973144531,0.21748586893081664,82.81946563720703,0.9900535583496094,5000.0,20141.0,5000.0
0.009329276132162365,0.296364426612854,0.708325058221817,0.4916270196437836,83.65143585205078,0.21669803708791732,82.1955337524414,0.9987837076187134,6000.0,20141.0,6000.0
0.009216951957503805,0.27680339813232424,0.7244121134281158,0.5033075034618377,81.51143646240234,0.22110460847616195,81.00486755371094,0.9884625196456909,7000.0,20141.0,7000.0
0.009104473803614867,0.2808695316314697,0.7129924893379211,0.49436660706996916,82.28621673583984,0.21862587183713914,81.5531005859375,0.9846033334732056,8000.0,20141.0,8000.0
0.008991839316250293,0.28446259498596194,0.6983729004859924,0.4843162775039673,86.25242614746094,0.21405662149190902,83.09978485107422,0.9965180397033692,9000.0,20141.0,9000.0
0.008879046071476318,0.2921649932861328,0.6868448376655578,0.4738487839698792,85.77313995361328,0.2129960536956787,83.75794219970703,0.9955892562866211,10000.0,20141.0,10000.0
0.008766091572582076,0.2873746395111084,0.658733582496643,0.45382591485977175,84.14588165283203,0.2049076646566391,82.22119140625,0.9940690517425537,11000.0,20141.0,11000.0
0.008652973246807001,0.29334423542022703,0.7015644431114196,0.48438664972782136,82.93284606933594,0.21717779636383056,81.70148468017578,0.9968113422393798,12000.0,20141.0,12000.0
0.008539688441870773,0.2898343563079834,0.6830855965614319,0.4723907321691513,83.24288940429688,0.2106948673725128,82.20182037353516,0.9960078477859498,13000.0,20141.0,13000.0
0.00842623442229094,0.28849332332611083,0.6423525154590607,0.4417228937149048,81.04804992675781,0.20062962025403977,80.01829528808594,0.9930584192276001,14000.0,20141.0,14000.0
0.008312608365471208,0.2872375726699829,0.6902145564556121,0.47850562632083893,80.12165832519531,0.21170892417430878,79.2870101928711,0.9916799306869507,15000.0,20141.0,15000.0
0.00819880735754314,0.28033061027526857,0.691348648071289,0.4771711826324463,81.010986328125,0.2141774594783783,79.91893005371094,0.9971686124801635,16000.0,20141.0,16000.0
0.008084828388940852,0.288523530960083,0.6616778016090393,0.45687471628189086,85.77223205566406,0.20480308085680007,83.75800323486328,1.0045341491699218,17000.0,20141.0,17000.0
0.007970668349687762,0.29063639640808103,0.686230194568634,0.47540047764778137,86.483154296875,0.21082972288131713,85.18944549560547,0.9915493249893188,18000.0,20141.0,18000.0
0.007856324024370783,0.28521754741668703,0.6713525056838989,0.46382284462451934,84.88689422607422,0.20752966850996019,83.51124572753906,1.008153247833252,19000.0,20141.0,19000.0
0.007741792086777633,0.27998507022857666,0.6371185719966889,0.43916645646095276,83.66645050048828,0.19795211553573608,82.15327453613281,0.9867942333221436,20000.0,20141.0,20000.0
0.007627069094165677,0.27190375328063965,0.6654666662216187,0.4567225962877274,84.1548843383789,0.20874407142400742,82.501220703125,0.9751199245452881,21000.0,20141.0,21000.0
0.007512151481132789,0.30115134716033937,0.634201055765152,0.4378994405269623,84.76119995117188,0.19630161821842193,82.00450134277344,1.0024794816970826,22000.0,20141.0,22000.0
0.007397035553054821,0.28515655994415284,0.632331269979477,0.4344871997833252,87.27407836914062,0.1978440672159195,86.29676818847656,0.9989032506942749,23000.0,20141.0,23000.0
0.007281717479050211,0.2799598455429077,0.6102435529232025,0.41794218122959137,85.94441986083984,0.19230137169361114,83.66642761230469,0.9876597166061402,24000.0,20141.0,24000.0
0.007166193284428821,0.2764463424682617,0.6484277844429016,0.4471978098154068,83.58253479003906,0.20122997611761093,83.41169738769531,0.9800325393676758,25000.0,20141.0,25000.0
0.007050458842577266,0.28322696685791016,0.6564555764198303,0.45060545206069946,85.23371124267578,0.20585012584924697,83.01242065429688,0.9882341623306274,26000.0,20141.0,26000.0
0.006934509866227417,0.4710118055343628,0.6416925430297852,0.4405288815498352,84.2723617553711,0.2011636570096016,82.55862426757812,1.2021738290786743,27000.0,20141.0,27000.0
0.006818341898048668,0.4611091136932373,0.6470861792564392,0.44469093084335326,84.922119140625,0.20239523947238922,83.48403930664062,1.1794768810272216,28000.0,20141.0,28000.0
0.006701950300497437,0.42673137187957766,0.6329068422317505,0.43281527459621427,84.19257354736328,0.20009156465530395,83.29199981689453,1.1462363958358766,29000.0,20141.0,29000.0
0.0065853302448496505,0.42165539264678953,0.6517184674739838,0.44926343858242035,85.32672119140625,0.20245503038167953,83.73699951171875,1.1315961837768556,30000.0,20141.0,30000.0
0.0064684766993326715,0.2954964876174927,0.6391125440597534,0.44081688225269317,85.14097595214844,0.19829566776752472,84.23763275146484,1.002041482925415,31000.0,20141.0,31000.0
